SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO,LATITUDE,LONGITUDE
IFMA,Instituto Federal do Maranhão,Campus Barra do Corda,2010,MA,Barra do Corda,-5.49682,-45.2485
IFMT,Instituto Federal de Mato Grosso,Campus Barra do Garças,2010,MT,Barra do Garças,-15.8804,-52.264
IFMA,Instituto Federal do Maranhão,Campus Barreirinhas,2010,MA,Barreirinhas,-2.75863,-42.8232
IFSP,Instituto Federal de São Paulo,Campus Barretos,2010,SP,Barretos,-20.5531,-48.5698
IFSP,Instituto Federal de São Paulo,Campus Birigui,2010,SP,Birigui,-21.291,-50.3432
IFRR,Instituto Federal de Roraima,Campus Boa Vista,2010,RR,Boa Vista,2.82384,-60.6753
IFRR,Instituto Federal de Roraima,Campus Boa Vista,2010,RR,Boa Vista,-7.26365,-36.2357
IF Baiano,Instituto Federal Baiano,Campus Bom Jesus da Lapa,2010,BA,Bom Jesus da Lapa,-13.2506,-43.4108
IFB,Instituto Federal de Brasília,Campus Brasília,2010,DF,Brasília,-15.7795,-47.9297
IFB,Instituto Federal de Brasília,Campus Gama,2010,DF,Brasília,-15.7795,-47.9297
IFB,Instituto Federal de Brasília,Campus Samambaia,2010,DF,Brasília,-15.7795,-47.9297
IFB,Instituto Federal de Brasília,Campus Taguatinga,2010,DF,Brasília,-15.7795,-47.9297
IFPB,Instituto Federal da Paraíba,Campus Cabedelo,2010,PB,Cabedelo,-6.98731,-34.8284
IFSul,Instituto Federal Sul-rio-grandense,Campus Camaquã,2010,RS,Camaquã,-30.8489,-51.8043
IFSP,Instituto Federal de São Paulo,Campus Campinas,2010,SP,Campinas,-22.9053,-47.0659
IFCE,Instituto Federal do Ceará,Campus Canindé,2010,CE,Canindé,-4.35162,-39.3155
IFRS,Instituto Federal do Rio Grande do Sul,Campus Canoas,2010,RS,Canoas,-29.9128,-51.1857
IFSC,Instituto Federal de Santa Catarina,Campus Canoinhas,2010,SC,Canoinhas,-26.1766,-50.395
IFPE,Instituto Federal de Pernambuco,Campus Caruaru,2010,PE,Caruaru,-8.28455,-35.9699
IFSP,Instituto Federal de São Paulo,Campus Catanduva,2010,SP,Catanduva,-21.1314,-48.977
IFMA,Instituto Federal do Maranhão,Campus Caxias,2010,MA,Caxias,-4.86505,-43.3617
IFRS,Instituto Federal do Rio Grande do Sul,Campus Caxias do Sul,2010,RS,Caxias do Sul,-29.1629,-51.1792
IFPA,Instituto Federal do Pará,Campus Conceição do Araguaia,2010,PA,Conceição do Araguaia,-8.26136,-49.2689
IFMT,Instituto Federal de Mato Grosso,Campus Confresa,2010,MT,Confresa,-10.6437,-51.5699
IFPI,Instituto Federal do Piauí,Campus Corrente,2010,PI,Corrente,-10.4333,-45.1633
IFCE,Instituto Federal do Ceará,Campus Crateús,2010,CE,Crateús,-5.16768,-40.6536
IFSC,Instituto Federal de Santa Catarina,Campus Criciúma,2010,SC,Criciúma,-28.6723,-49.3729
IFAC,Instituto Federal do Acre,Campus Cruzeiro do Sul,2010,AC,Cruzeiro do Sul,-22.9624,-52.1622
IFAC,Instituto Federal do Acre,Campus Cruzeiro do Sul,2010,AC,Cruzeiro do Sul,-29.5148,-51.9928
IFAC,Instituto Federal do Acre,Campus Cruzeiro do Sul,2010,AC,Cruzeiro do Sul,-7.62762,-72.6756
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Curvelo,2010,MG,Curvelo,-18.7527,-44.4303
IFRS,Instituto Federal do Rio Grande do Sul,Campus Erechim,2010,RS,Erechim,-27.6364,-52.2697
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Floresta,2010,PE,Floresta,-23.6031,-52.0807
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Floresta,2010,PE,Floresta,-8.60307,-38.5687
IFG,Instituto Federal de Goiás,Campus Formosa,2010,GO,Formosa,-15.54,-47.337
IFPR,Instituto Federal do Paraná,Campus Foz do Iguaçu,2010,PR,Foz do Iguaçu,-25.5427,-54.5827
IFPE,Instituto Federal de Pernambuco,Campus Garanhuns,2010,PE,Garanhuns,-8.88243,-36.4966
IFSC,Instituto Federal de Santa Catarina,Campus Gaspar,2010,SC,Gaspar,-26.9336,-48.9534
IFMG,Instituto Federal de Minas Gerais,Campus Governador Valadares,2010,MG,Governador Valadares,-18.8545,-41.9555
IFTO,Instituto Federal do Tocantins,Campus Gurupi,2010,TO,Gurupi,-11.7279,-49.068
IFSP,Instituto Federal de São Paulo,Campus Hortolândia,2010,SP,Hortolândia,-22.8529,-47.2143
IFES,Instituto Federal do Espírito Santo,Campus Ibatiba,2010,ES,Ibatiba,-20.2347,-41.5087
IF Goiano,Instituto Federal Goiano,Campus Iporá,2010,GO,Iporá,-16.4398,-51.118
IFBA,Instituto Federal da Bahia,Campus Irecê,2010,BA,Irecê,-11.3033,-41.8535
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Itaguaí,2010,RJ,Itaguaí,-22.8636,-43.7798
IFPA,Instituto Federal do Pará,Campus Itaituba,2010,PA,Itaituba,-4.2667,-55.9926
IFSC,Instituto Federal de Santa Catarina,Campus Itajaí,2010,SC,Itajaí,-26.9101,-48.6705
IF Baiano,Instituto Federal Baiano,Campus Itapetinga,2010,BA,Itapetinga,-15.2475,-40.2482
IFSP,Instituto Federal de São Paulo,Campus Itapetininga,2010,SP,Itapetininga,-23.5886,-48.0483
IFTM,Instituto Federal do Triângulo Mineiro,Campus Ituiutaba,2010,MG,Ituiutaba,-18.9772,-49.4639
IFCE,Instituto Federal do Ceará,Campus Tauá,2013,CE,Tauá,-5.98585,-40.2968
IFCE,Instituto Federal do Ceará,Campus Tianguá,2013,CE,Tianguá,-3.72965,-40.9923
IFSC,Instituto Federal de Santa Catarina,Campus Tubarão,2013,SC,Tubarão,-28.4713,-49.0144
IFCE,Instituto Federal do Ceará,Campus Ubajara,2013,CE,Ubajara,-3.85448,-40.9204
IFTM,Instituto Federal do Triângulo Mineiro,Campus Uberlândia Centro,2013,MG,Uberlândia,-18.9141,-48.2749
IFCE,Instituto Federal do Ceará,Campus Umirim,2013,CE,Umirim,-3.67654,-39.3465
IFSC,Instituto Federal de Santa Catarina,Campus Urupema,2013,SC,Urupema,-27.9557,-49.8729
IFMT,Instituto Federal de Mato Grosso,Campus Várzea Grande,2013,MT,Várzea Grande,-6.54899,-42.248
IFMT,Instituto Federal de Mato Grosso,Campus Várzea Grande,2013,MT,Várzea Grande,-15.6458,-56.1322
IFES,Instituto Federal do Espírito Santo,Campus Venda Nova do Imigrante,2013,ES,Venda Nova do Imigrante,-20.327,-41.1355
IFSC,Instituto Federal de Santa Catarina,Campus Xanxerê,2013,SC,Xanxerê,-26.8747,-52.4036
IFAC,Instituto Federal do Acre,Campus Xapuri,2013,AC,Xapuri,-10.6516,-68.4969
IFG,Instituto Federal de Goiás,Campus Águas Lindas de Goiás,2014,GO,Águas Lindas de Goiás,-15.7617,-48.2816
IFPR,Instituto Federal do Paraná,Campus Avançado Barracão,2014,PR,Barracão,-27.6739,-51.4585
IFPR,Instituto Federal do Paraná,Campus Avançado Barracão,2014,PR,Barracão,-26.2502,-53.6324
IFAL,Instituto Federal de Alagoas,Campus Batalha,2014,AL,Batalha,-4.0223,-42.0787
IFAL,Instituto Federal de Alagoas,Campus Batalha,2014,AL,Batalha,-9.6742,-37.133
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Bom Sucesso,2014,MG,Bom Sucesso,-21.0329,-44.7537
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Bom Sucesso,2014,MG,Bom Sucesso,-23.7063,-51.7671
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Bom Sucesso,2014,MG,Bom Sucesso,-6.44176,-37.9234
IFF,Instituto Federal Fluminense,Campus Avançado Cambuci,2014,RJ,Cambuci,-21.5691,-41.9187
IFTM,Instituto Federal do Triângulo Mineiro,Campus Avançado Campina Verde,2014,MG,Campina Verde,-19.5382,-49.4862
IFPI,Instituto Federal do Piauí,Campus Campo Maior,2014,PI,Campo Maior,-4.8217,-42.1641
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Avançado Carmo de Minas,2014,MG,Carmo de Minas,-22.1204,-45.1307
IFMA,Instituto Federal do Maranhão,Campus Avançado Carolina,2014,MA,Carolina,-7.33584,-47.4634
IFPR,Instituto Federal do Paraná,Campus Cascavel,2014,PR,Cascavel,-24.9573,-53.459
IFPR,Instituto Federal do Paraná,Campus Cascavel,2014,PR,Cascavel,-4.12967,-38.2412
IF Goiano,Instituto Federal Goiano,Campus Avançado Catalão,2014,GO,Catalão,-18.1656,-47.944
IFPI,Instituto Federal do Piauí,Campus Cocal,2014,PI,Cocal,-3.47279,-41.5546
IFTO,Instituto Federal do Tocantins,Campus Colinas do Tocantins,2014,TO,Colinas do Tocantins,-8.05764,-48.4757
IFAL,Instituto Federal de Alagoas,Campus Coruripe,2014,AL,Coruripe,-10.1276,-36.1717
IF Goiano,Instituto Federal Goiano,Campus Cristalina,2014,GO,Cristalina,-16.7676,-47.6131
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Diamantino,2014,MT,Diamantino,-14.4037,-56.4366
IFS,Instituto Federal de Sergipe,Campus Estância,2014,SE,Estância,-11.2659,-37.4484
IFG,Instituto Federal de Goiás,Campus Goiânia Oeste,2014,GO,Goiânia,-16.6864,-49.2643
IFCE,Instituto Federal do Ceará,Campus Avançado Guaramiranga,2014,CE,Guaramiranga,-4.26248,-38.932
IF Goiano,Instituto Federal Goiano,Campus Avançado Hidrolândia,2014,GO,Hidrolândia,-16.9626,-49.2265
IF Goiano,Instituto Federal Goiano,Campus Avançado Hidrolândia,2014,GO,Hidrolândia,-4.40958,-40.4056
IF Goiano,Instituto Federal Goiano,Campus Avançado Ipameri,2014,GO,Ipameri,-17.7215,-48.1581
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Ipatinga,2014,MG,Ipatinga,-19.4703,-42.5476
IFSul,Instituto Federal Sul-rio-grandense,Campus Avançado Jaguarão,2014,RS,Jaguarão,-32.5604,-53.377
IFCE,Instituto Federal do Ceará,Campus Avançado Jaguaruana,2014,CE,Jaguaruana,-4.83151,-37.781
IFTO,Instituto Federal do Tocantins,Campus Avançado Lagoa da Confusão,2014,TO,Lagoa da Confusão,-10.7906,-49.6199
IFAM,Instituto Federal do Amazonas,Campus Avançado Manacapuru,2014,AM,Manacapuru,-3.29066,-60.6216
IFES,Instituto Federal do Espírito Santo,Campus Montanha,2014,ES,Montanha,-18.1303,-40.3668
IFPE,Instituto Federal de Pernambuco,Campus Palmares,2014,PE,Palmares,-8.68423,-35.589
IFPA,Instituto Federal do Pará,Campus Parauapebas,2014,PA,Parauapebas,-6.06781,-49.9037
IFTO,Instituto Federal do Tocantins,Campus Avançado Pedro Afonso,2014,TO,Pedro Afonso,-8.97034,-48.1729
IFPI,Instituto Federal do Piauí,Campus Avançado PIO IX,2014,PI,Pio IX,-6.83002,-40.6083
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Piumhi,2014,MG,Piumhi,-20.4762,-45.9589
IFMA,Instituto Federal do Maranhão,Campus Avançado Porto Franco,2014,MA,Porto Franco,-6.34149,-47.3962
IFS,Instituto Federal de Sergipe,Campus Propriá,2014,SE,Propriá,-10.2138,-36.8442
IFAC,Instituto Federal do Acre,Campus Rio Branco Baixada do Sol,2014,AC,Rio Branco,-15.2483,-58.1259
IFAC,Instituto Federal do Acre,Campus Rio Branco Baixada do Sol,2014,AC,Rio Branco,-9.97499,-67.8243
IFAL,Instituto Federal de Alagoas,Campus Rio Largo,2014,AL,Rio Largo,-9.47783,-35.8394
IFMA,Instituto Federal do Maranhão,Campus Avançado Rosário,2014,MA,Rosário,-2.93444,-44.2531
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Santa Maria da Boa Vista,2014,PE,Santa Maria da Boa Vista,-8.79766,-39.8241
IF Farroupilha,Instituto Federal Farroupilha,Campus Santo Ângelo,2014,RS,Santo Ângelo,-28.3001,-54.2668
IFF,Instituto Federal Fluminense,Campus Avançado São João da Barra,2014,RJ,São João da Barra,-21.638,-41.0446
IFMA,Instituto Federal do Maranhão,Campus São José de Ribamar,2014,MA,São José de Ribamar,-2.54704,-44.0597
IFG,Instituto Federal de Goiás,Campus Senador Canedo,2014,GO,Senador Canedo,-16.7084,-49.0914
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Serra Talhada,2014,PE,Serra Talhada,-7.98178,-38.289
IFC,Instituto Federal Catarinense,Campus Avançado Sombrio,2014,SC,Sombrio,-29.108,-49.6328
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Tangará da Serra,2014,MT,Tangará da Serra,-14.6229,-57.4933
IFPI,Instituto Federal do Piauí,Campus Avançado Teresina Dirceu Arcoverde,2014,PI,Teresina,-5.09194,-42.8034
IFS,Instituto Federal de Sergipe,Campus Tobias Barreto,2014,SE,Tobias Barreto,-11.1798,-37.9995
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Avançado Três Corações,2014,MG,Três Corações,-21.6921,-45.2511
IF Farroupilha,Instituto Federal Farroupilha,Campus Avançado Uruguaiana,2014,RS,Uruguaiana,-29.7614,-57.0853
IFPI,Instituto Federal do Piauí,Campus Valença do Piauí,2014,PI,Valença do Piauí,-6.40301,-41.7375
IFES,Instituto Federal do Espírito Santo,Campus Avançado Viana,2014,ES,Viana,-20.3825,-40.4933
IFES,Instituto Federal do Espírito Santo,Campus Avançado Viana,2014,ES,Viana,-3.20451,-44.9912
IFMA,Instituto Federal do Maranhão,Campus Viana,2014,MA,Viana,-20.3825,-40.4933
IFMA,Instituto Federal do Maranhão,Campus Viana,2014,MA,Viana,-3.20451,-44.9912
IFAL,Instituto Federal de Alagoas,Campus Viçosa,2014,AL,Viçosa,-5.98253,-37.9462
IFAL,Instituto Federal de Alagoas,Campus Viçosa,2014,AL,Viçosa,-9.36763,-36.2431
IFAL,Instituto Federal de Alagoas,Campus Viçosa,2014,AL,Viçosa,-20.7559,-42.8742
IFPA,Instituto Federal do Pará,Campus Avançado Vigia,2014,PA,Vigia,-0.861194,-48.1386
IFC,Instituto Federal Catarinense,Campus Avançado Abelardo Luz,2015,SC,Abelardo Luz,-26.5716,-52.3229
IFMT,Instituto Federal de Mato Grosso,Campus Alta Floresta,2015,MT,Alta Floresta,-9.86674,-56.0867
IFRS,Instituto Federal do Rio Grande do Sul,Campus Alvorada,2015,RS,Alvorada,-12.4785,-49.1249
IFRS,Instituto Federal do Rio Grande do Sul,Campus Alvorada,2015,RS,Alvorada,-29.9914,-51.0809
IFPR,Instituto Federal do Paraná,Campus Avançado Astorga,2015,PR,Astorga,-23.2318,-51.6668
IFRR,Instituto Federal de Roraima,Campus Avançado Bonfim,2015,RR,Bonfim,3.36161,-59.8333
IFRR,Instituto Federal de Roraima,Campus Avançado Bonfim,2015,RR,Bonfim,-20.3302,-44.2366
IFPB,Instituto Federal da Paraíba,Campus Avançado Cabedelo Centro,2015,PB,Cabedelo,-6.98731,-34.8284
IFF,Instituto Federal Fluminense,Polo de Inovação Campos dos Goytacazes,2015,RJ,Campos dos Goytacazes,-21.7622,-41.3181
IFPR,Instituto Federal do Paraná,Campus Capanema,2015,PR,Capanema,-1.20529,-47.1778
IFPR,Instituto Federal do Paraná,Campus Capanema,2015,PR,Capanema,-25.6691,-53.8055
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Cataguases,2015,MG,Cataguases,-21.3924,-42.6896
IFPB,Instituto Federal da Paraíba,Campus Catolé do Rocha,2015,PB,Catolé do Rocha,-6.34062,-37.747
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Conselheiro Lafaiete,2015,MG,Conselheiro Lafaiete,-20.6634,-43.7846
IFPR,Instituto Federal do Paraná,Campus Avançado Coronel Vivida,2015,PR,Coronel Vivida,-25.9767,-52.5641
IFBA,Instituto Federal da Bahia,Campus Euclides da Cunha,2015,BA,Euclides da Cunha,-10.5078,-39.0153
IFMG,Instituto Federal de Minas Gerais,Polo de Inovação Formiga,2015,MG,Formiga,-20.4618,-45.4268
IFTO,Instituto Federal do Tocantins,Campus Avançado Formoso do Araguaia,2015,TO,Formoso do Araguaia,-11.7976,-49.5316
IFCE,Instituto Federal do Ceará,Polo de Inovação Fortaleza,2015,CE,Fortaleza,-3.71664,-38.5423
IFPR,Instituto Federal do Paraná,Campus Avançado Goioerê,2015,PR,Goioerê,-24.1835,-53.0248
IFSP,Instituto Federal de São Paulo,Campus Avançado Ilha Solteira,2015,SP,Ilha Solteira,-20.4326,-51.3426
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Itabirito,2015,MG,Itabirito,-20.2501,-43.8038
IFSP,Instituto Federal de São Paulo,Campus Jacareí,2015,SP,Jacareí,-23.2983,-45.9658
IFPR,Instituto Federal do Paraná,Campus Jaguariaíva,2015,PR,Jaguariaíva,-24.2439,-49.7066
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Avançado Janaúba,2015,MG,Janaúba,-15.8022,-43.3132
IFBA,Instituto Federal da Bahia,Campus Juazeiro,2015,BA,Juazeiro,-9.41622,-40.5033
IFRN,Instituto Federal do Rio Grande do Norte,Campus Avançado Lajes,2015,RN,Lajes,-5.69322,-36.247
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Manhuaçu,2015,MG,Manhuaçu,-20.2572,-42.028
IFF,Instituto Federal Fluminense,Campus Avançado Maricá,2015,RJ,Maricá,-22.9354,-42.8246
IFAL,Instituto Federal de Alagoas,Campus Murici,2015,AL,Murici,-9.30682,-35.9428
IFRN,Instituto Federal do Rio Grande do Norte,Campus Avançado Parelhas,2015,RN,Parelhas,-6.68491,-36.6566
IFPR,Instituto Federal do Paraná,Campus Pinhais,2015,PR,Pinhais,-25.4429,-49.1927
IFPR,Instituto Federal do Paraná,Campus Pitanga,2015,PR,Pitanga,-24.7588,-51.7596
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Ponte Nova,2015,MG,Ponte Nova,-20.4111,-42.8978
IF Goiano,Instituto Federal Goiano,Campus Posse,2015,GO,Posse,-14.0859,-46.3704
IFPR,Instituto Federal do Paraná,Campus Avançado Quedas do Iguaçu,2015,PR,Quedas do Iguaçu,-25.4492,-52.9102
IFRS,Instituto Federal do Rio Grande do Sul,Campus Rolante,2015,RS,Rolante,-29.6462,-50.5819
IFBA,Instituto Federal da Bahia,Polo de Inovação Salvador,2015,BA,Salvador,-12.9718,-38.5011
IFAP,Instituto Federal do Amapá,Campus Santana,2015,AP,Santana,-12.9792,-44.0506
IFAP,Instituto Federal do Amapá,Campus Santana,2015,AP,Santana,-0.045434,-51.1729
IFF,Instituto Federal Fluminense,Campus Santo Antônio de Pádua,2015,RJ,Santo Antônio de Pádua,-21.541,-42.1832
IFSC,Instituto Federal de Santa Catarina,Campus Avançado São Lourenço do Oeste,2015,SC,São Lourenço do Oeste,-26.3557,-52.8498
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Ubá,2015,MG,Ubá,-21.1204,-42.9359
IFBA,Instituto Federal da Bahia,Campus Avançado Ubaitaba,2015,BA,Ubaitaba,-14.303,-39.3222
IFTM,Instituto Federal do Triângulo Mineiro,Campus Avançado Uberaba Parque Tecnológico,2015,MG,Uberaba,-19.7472,-47.9381
IFPR,Instituto Federal do Paraná,Campus União da Vitória,2015,PR,União da Vitória,-26.2273,-51.0873
IFRS,Instituto Federal do Rio Grande do Sul,Campus Vacaria,2015,RS,Vacaria,-28.5079,-50.9418
IFG,Instituto Federal de Goiás,Campus Valparaíso de Goiás,2015,GO,Valparaíso de Goiás,-16.0651,-47.9757
IFRS,Instituto Federal do Rio Grande do Sul,Campus Avançado Veranópolis,2015,RS,Veranópolis,-28.9312,-51.5516
IFES,Instituto Federal do Espírito Santo,Polo de Inovação Vitória,2015,ES,Vitória,-20.3155,-40.3128
IF Baiano,Instituto Federal Baiano,Campus Alagoinhas,2016,BA,Alagoinhas,-12.1335,-38.4208
IFPA,Instituto Federal do Pará,Campus Ananindeua,2016,PA,Ananindeua,-1.36391,-48.3743
IFMA,Instituto Federal do Maranhão,Campus Araioses,2016,MA,Araioses,-2.89091,-41.905
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Arcos,2016,MG,Arcos,-20.2863,-45.5373
IFES,Instituto Federal do Espírito Santo,Campus Barra de São Francisco,2016,ES,Barra de São Francisco,-18.7548,-40.8965
IFCE,Instituto Federal do Ceará,Campus Boa Viagem,2016,CE,Boa Viagem,-5.11258,-39.7337
IFPA,Instituto Federal do Pará,Campus Cametá,2016,PA,Cametá,-2.24295,-49.4979
IF Goiano,Instituto Federal Goiano,Campus Campos Belos,2016,GO,Campos Belos,-13.035,-46.7681
IFCE,Instituto Federal do Ceará,Campus Pecém,2016,CE,Caucaia,-3.72797,-38.6619
IFPR,Instituto Federal do Paraná,Campus Colombo,2016,PR,Colombo,-25.2925,-49.2262
IFPB,Instituto Federal da Paraíba,Campus Avançado João Pessoa Mangabeira,2016,PB,Coronel João Pessoa,-6.24974,-38.4441
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Diamantina,2016,MG,Diamantina,-18.2413,-43.6031
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Dourados,2016,MS,Dourados,-22.2231,-54.812
IFAM,Instituto Federal do Amazonas,Campus Eirunepé,2016,AM,Eirunepé,-6.65677,-69.8662
IFPB,Instituto Federal da Paraíba,Campus Esperança,2016,PB,Esperança,-7.02278,-35.8597
IFRO,Instituto Federal de Rondônia,Campus Guajará-Mirim,2016,RO,Guajará-Mirim,-10.7889,-65.3296
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Guarantã do Norte,2016,MT,Guarantã do Norte,-9.96218,-54.9121
IFCE,Instituto Federal do Ceará,Campus Horizonte,2016,CE,Horizonte,-4.1209,-38.4707
IFPE,Instituto Federal de Pernambuco,Campus Igarassu,2016,PE,Igarassu,-7.82881,-34.9013
IFPB,Instituto Federal da Paraíba,Campus Itabaiana - IFPB,2016,PB,Itabaiana,-7.33167,-35.3317
IFPB,Instituto Federal da Paraíba,Campus Itabaiana - IFPB,2016,PB,Itabaiana,-10.6826,-37.4273
IF Baiano,Instituto Federal Baiano,Campus Itaberaba,2016,BA,Itaberaba,-12.5242,-40.3059
IFAM,Instituto Federal do Amazonas,Campus Itacoatiara,2016,AM,Itacoatiara,-3.13861,-58.4449
IFMA,Instituto Federal do Maranhão,Campus Itapecuru Mirim,2016,MA,Itapecuru-Mirim,,
IFCE,Instituto Federal do Ceará,Campus Itapipoca,2016,CE,Itapipoca,-3.49933,-39.5836
IFPB,Instituto Federal da Paraíba,Campus Itaporanga,2016,PB,Itaporanga,-23.7043,-49.4819
IFPB,Instituto Federal da Paraíba,Campus Itaporanga,2016,PB,Itaporanga,-7.30202,-38.1504
IFSP,Instituto Federal de São Paulo,Campus Itaquaquecetuba,2016,SP,Itaquaquecetuba,-23.4835,-46.3457
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Jardim,2016,MS,Jardim,-7.57599,-39.2826
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Jardim,2016,MS,Jardim,-21.4799,-56.1489
IFRO,Instituto Federal de Rondônia,Campus Jaru,2016,RO,Jaru,-10.4318,-62.4788
IFPI,Instituto Federal do Piauí,Campus Avançado José de Freitas,2016,PI,José de Freitas,-4.75146,-42.5746
IFSP,Instituto Federal de São Paulo,Campus Avançado Jundiaí,2016,SP,Jundiaí,-23.1852,-46.8974
IFBA,Instituto Federal da Bahia,Campus Lauro de Freitas,2016,BA,Lauro de Freitas,-12.8978,-38.321
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Lucas do Rio Verde,2016,MT,Lucas do Rio Verde,-13.0588,-55.9042
IFAL,Instituto Federal de Alagoas,Campus Avançado Maceió Benedito Bentes,2016,AL,Maceió,-9.66599,-35.735
IFRJ,Instituto Federal do Rio de Janeiro,Campus Avançado Mesquita,2016,RJ,Mesquita,-22.8028,-43.4601
IFRJ,Instituto Federal do Rio de Janeiro,Campus Avançado Mesquita,2016,RJ,Mesquita,-19.224,-42.6079
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Naviraí,2016,MS,Naviraí,-23.0618,-54.1995
IFS,Instituto Federal de Sergipe,Campus Nossa Senhora do Socorro,2016,SE,Nossa Senhora do Socorro,-10.8468,-37.1231
IFSul,Instituto Federal Sul-rio-grandense,Campus Novo Hamburgo,2016,RS,Novo Hamburgo,-29.6875,-51.1328
IFAP,Instituto Federal do Amapá,Campus Avançado Oiapoque,2016,AP,Oiapoque,3.84074,-51.8331
IFPE,Instituto Federal de Pernambuco,Campus Olinda,2016,PE,Olinda,-8.01017,-34.8545
IFCE,Instituto Federal do Ceará,Campus Paracuru,2016,CE,Paracuru,-3.41436,-39.03
IFPA,Instituto Federal do Pará,Campus Paragominas,2016,PA,Paragominas,-3.00212,-47.3527
IFPE,Instituto Federal de Pernambuco,Campus Paulista,2016,PE,Paulista,-6.59138,-37.6185
IFPE,Instituto Federal de Pernambuco,Campus Paulista,2016,PE,Paulista,-7.93401,-34.8684
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Avançado Porteirinha,2016,MG,Porteirinha,-15.7404,-43.0281
IFAP,Instituto Federal do Amapá,Campus Porto Grande,2016,AP,Porto Grande,0.71243,-51.4155
IFRJ,Instituto Federal do Rio de Janeiro,Campus Avançado Resende,2016,RJ,Resende,-22.4705,-44.4509
IFES,Instituto Federal do Espírito Santo,Campus Centro Serrano,2016,ES,Santa Maria de Jetibá,-20.0253,-40.7439
IFPB,Instituto Federal da Paraíba,Campus Santa Rita,2016,PB,Santa Rita,-3.14241,-44.3211
IFPB,Instituto Federal da Paraíba,Campus Santa Rita,2016,PB,Santa Rita,-7.11724,-34.9753
IFBA,Instituto Federal da Bahia,Campus Santo Antônio de Jesus,2016,BA,Santo Antônio de Jesus,-12.9614,-39.2584
IFC,Instituto Federal Catarinense,Campus São Bento do Sul,2016,SC,São Bento do Sul,-26.2495,-49.3831
IFSP,Instituto Federal de São Paulo,Campus São Paulo Pirituba,2016,SP,São Paulo,-23.5329,-46.6395
IF Baiano,Instituto Federal Baiano,Campus Serrinha,2016,BA,Serrinha,-6.28181,-35.5
IF Baiano,Instituto Federal Baiano,Campus Serrinha,2016,BA,Serrinha,-11.6584,-39.01
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Sinop,2016,MT,Sinop,-11.8604,-55.5091
IFPB,Instituto Federal da Paraíba,Campus Avançado Soledade,2016,PB,Soledade,-7.05829,-36.3668
IFPB,Instituto Federal da Paraíba,Campus Avançado Soledade,2016,PB,Soledade,-28.8306,-52.5131
IFSP,Instituto Federal de São Paulo,Campus Sorocaba,2016,SP,Sorocaba,-23.4969,-47.4451
IFAM,Instituto Federal do Amazonas,Campus Tefé,2016,AM,Tefé,-3.36822,-64.7193
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Teófilo Otoni,2016,MG,Teófilo Otoni,-17.8595,-41.5087
IF Goiano,Instituto Federal Goiano,Campus Trindade,2016,GO,Trindade,-16.6517,-49.4927
IF Goiano,Instituto Federal Goiano,Campus Trindade,2016,GO,Trindade,-7.759,-40.2647
IFSP,Instituto Federal de São Paulo,Campus Avançado Tupã,2016,SP,Tupã,-21.9335,-50.5191
IFRS,Instituto Federal do Rio Grande do Sul,Campus Viamão,2016,RS,Viamão,-30.0819,-51.0194
