SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO,LATITUDE,LONGITUDE
CPII,Colégio Pedro II,Campus Tijuca II,1957,RJ,Rio de Janeiro,-22.9129,-43.2003
IFRS,Instituto Federal do Rio Grande do Sul,Campus Sertão,1957,RS,Sertão,-27.9798,-52.2588
IFRS,Instituto Federal do Rio Grande do Sul,Campus Bento Gonçalves,1959,RS,Bento Gonçalves,-29.1662,-51.5165
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Januária,1960,MG,Januária,-15.4802,-44.3639
IFCE,Instituto Federal do Ceará,Campus Iguatu,1962,CE,Iguatu,-6.36281,-39.2892
IFCE,Instituto Federal do Ceará,Campus Iguatu,1962,CE,Iguatu,-24.7153,-53.0827
IF Farroupilha,Instituto Federal Farroupilha,Campus Alegrete,1964,RS,Alegrete,-29.7902,-55.7949
IF Baiano,Instituto Federal Baiano,Campus Catu,1964,BA,Catu,-12.3513,-38.3791
IFRS,Instituto Federal do Rio Grande do Sul,Campus Rio Grande,1964,RS,Rio Grande,-32.0349,-52.1071
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Rio Pomba,1964,MG,Rio Pomba,-21.2712,-43.1696
IFC,Instituto Federal Catarinense,Campus Concórdia,1967,SC,Concórdia,-27.2335,-52.026
IFMG,Instituto Federal de Minas Gerais,Campus Bambuí,1968,MG,Bambuí,-20.0166,-45.9754
IF Goiano,Instituto Federal Goiano,Campus Rio Verde,1968,GO,Rio Verde,-17.7923,-50.9192
IFF,Instituto Federal Fluminense,Campus Bom Jesus do Itabapoana,1970,RJ,Bom Jesus do Itabapoana,-21.1449,-41.6822
IFMT,Instituto Federal de Mato Grosso,Campus Cáceres,1980,MT,Cáceres,-16.0764,-57.6818
CPII,Colégio Pedro II,Campus São Cristóvão I,1984,RJ,Rio de Janeiro,-22.9129,-43.2003
IFTO,Instituto Federal do Tocantins,Campus Araguatins,1985,TO,Araguatins,-5.64659,-48.1232
CPII,Colégio Pedro II,Campus Humaitá I,1985,RJ,Rio de Janeiro,-22.9129,-43.2003
CPII,Colégio Pedro II,Campus Engenho Novo I,1986,RJ,Rio de Janeiro,-22.9129,-43.2003
IFPA,Instituto Federal do Pará,Campus Altamira,1987,PA,Altamira,-3.20407,-52.21
IFSP,Instituto Federal de São Paulo,Campus Cubatão,1987,SP,Cubatão,-23.8911,-46.424
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Divinópolis,1987,MG,Divinópolis,-20.1446,-44.8912
IFMA,Instituto Federal do Maranhão,Campus Imperatriz,1987,MA,Imperatriz,-5.51847,-47.4777
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Leopoldina,1987,MG,Leopoldina,-21.5296,-42.6421
IFPA,Instituto Federal do Pará,Campus Marabá Industrial,1987,PA,Marabá,-5.38075,-49.1327
CPII,Colégio Pedro II,Campus Tijuca I,1987,RJ,Rio de Janeiro,-22.9129,-43.2003
IFG,Instituto Federal de Goiás,Campus Jataí,1988,GO,Jataí,-17.8784,-51.7204
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Petrolina,1988,PE,Petrolina,-9.38866,-40.5027
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Petrolina Zona Rural,1988,PE,Petrolina,-9.38866,-40.5027
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Araxá,1992,MG,Araxá,-19.5902,-46.9438
IFES,Instituto Federal do Espírito Santo,Campus Colatina,1992,ES,Colatina,-19.5493,-40.6269
IFF,Instituto Federal Fluminense,Campus Macaé,1992,RJ,Macaé,-22.3768,-41.7848
IFAM,Instituto Federal do Amazonas,Campus Manaus Distrito Industrial,1992,AM,Manaus,-3.11866,-60.0212
IFAL,Instituto Federal de Alagoas,Campus Palmeira dos Índios,1992,AL,Palmeira dos Índios,-9.40568,-36.6328
IFBA,Instituto Federal da Bahia,Campus Barreiras,1993,BA,Barreiras,-12.1439,-44.9968
IF Goiano,Instituto Federal Goiano,Campus Ceres,1993,GO,Ceres,-15.3061,-49.6
IFMA,Instituto Federal do Maranhão,Campus Codó,1993,MA,Codó,-4.45562,-43.8924
IFRO,Instituto Federal de Rondônia,Campus Colorado do Oeste,1993,RO,Colorado do Oeste,-13.1174,-60.5454
IFBA,Instituto Federal da Bahia,Campus Eunápolis,1993,BA,Eunápolis,-16.3715,-39.5821
IF Baiano,Instituto Federal Baiano,Campus Guanambi,1993,BA,Guanambi,-14.2231,-42.7799
IFC,Instituto Federal Catarinense,Campus Rio do Sul,1993,SC,Rio do Sul,-27.2156,-49.643
IF Baiano,Instituto Federal Baiano,Campus Santa Inês - IF Baiano,1993,BA,Santa Inês,-13.2793,-39.814
IF Baiano,Instituto Federal Baiano,Campus Santa Inês - IF Baiano,1993,BA,Santa Inês,-22.6376,-51.9024
IF Baiano,Instituto Federal Baiano,Campus Santa Inês - IF Baiano,1993,BA,Santa Inês,-7.621,-38.554
IF Baiano,Instituto Federal Baiano,Campus Santa Inês - IF Baiano,1993,BA,Santa Inês,-3.65112,-45.3774
IFC,Instituto Federal Catarinense,Campus Santa Rosa do Sul,1993,SC,Santa Rosa do Sul,-29.1313,-49.7109
