SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO
IFSC,Instituto Federal de Santa Catarina,Campus Florianópolis Continente,2006,SC,Florianópolis
IFG,Instituto Federal de Goiás,Campus Inhumas,2006,GO,Inhumas
IFSC,Instituto Federal de Santa Catarina,Campus Joinville,2006,SC,Joinville
IFCE,Instituto Federal do Ceará,Campus Maracanaú,2006,CE,Maracanaú
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Nepomuceno,2006,MG,Nepomuceno
CPII,Colégio Pedro II,Campus Niterói - CPII,2006,RJ,Niterói
IFTO,Instituto Federal do Tocantins,Campus Paraíso do Tocantins,2006,TO,Paraíso do Tocantins
IFPI,Instituto Federal do Piauí,Campus Parnaíba,2006,PI,Parnaíba
IFPI,Instituto Federal do Piauí,Campus Picos,2006,PI,Picos
IFBA,Instituto Federal da Bahia,Campus Porto Seguro,2006,BA,Porto Seguro
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Maria da Graça,2006,RJ,Rio de Janeiro
IFSP,Instituto Federal de São Paulo,Campus Salto,2006,SP,Salto
IFBA,Instituto Federal da Bahia,Campus Santo Amaro,2006,BA,Santo Amaro
IFSP,Instituto Federal de São Paulo,Campus São João da Boa Vista,2006,SP,São João da Boa Vista
IFES,Instituto Federal do Espírito Santo,Campus São Mateus,2006,ES,São Mateus
IFBA,Instituto Federal da Bahia,Campus Simões Filho,2006,BA,Simões Filho
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Timóteo,2006,MG,Timóteo
IFMA,Instituto Federal do Maranhão,Campus Zé Doca,2006,MA,Zé Doca
IFBA,Instituto Federal da Bahia,Campus Camaçari,2007,BA,Camaçari
IFPB,Instituto Federal da Paraíba,Campus Campina Grande,2007,PB,Campina Grande
IFPE,Instituto Federal de Pernambuco,Campus Ipojuca,2007,PE,Ipojuca
IFRN,Instituto Federal do Rio Grande do Norte,Campus Natal Zona Norte,2007,RN,Natal
IFSul,Instituto Federal Sul-rio-grandense,Campus Passo Fundo,2007,RS,Passo Fundo
