SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO
IFSC,Instituto Federal de Santa Catarina,Campus Avançado São Lourenço do Oeste,2015,SC,São Lourenço do Oeste
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Ubá,2015,MG,Ubá
IFBA,Instituto Federal da Bahia,Campus Avançado Ubaitaba,2015,BA,Ubaitaba
IFTM,Instituto Federal do Triângulo Mineiro,Campus Avançado Uberaba Parque Tecnológico,2015,MG,Uberaba
IFPR,Instituto Federal do Paraná,Campus União da Vitória,2015,PR,União da Vitória
IFRS,Instituto Federal do Rio Grande do Sul,Campus Vacaria,2015,RS,Vacaria
IFG,Instituto Federal de Goiás,Campus Valparaíso de Goiás,2015,GO,Valparaíso de Goiás
IFRS,Instituto Federal do Rio Grande do Sul,Campus Avançado Veranópolis,2015,RS,Veranópolis
IFES,Instituto Federal do Espírito Santo,Polo de Inovação Vitória,2015,ES,Vitória
IF Baiano,Instituto Federal Baiano,Campus Alagoinhas,2016,BA,Alagoinhas
